




<frozen importlib._bootstrap>:677: size=1216 B, count=9, average=135 B
<frozen importlib._bootstrap>:677: size=1190 B, count=8, average=149 B
<frozen importlib._bootstrap>:983: size=1168 B, count=1, average=1168 B
/usr/lib/python3.7/threading.py:885: size=1168 B, count=1, average=1168 B
<frozen importlib._bootstrap>:677: size=1162 B, count=9, average=129 B
<frozen importlib._bootstrap>:677: size=1161 B, count=9, average=129 B
<frozen importlib._bootstrap>:677: size=1146 B, count=12, average=96 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/__init__.py:40: size=1140 B, count=2, average=570 B
/usr/lib/python3.7/importlib/__init__.py:127: size=1139 B, count=16, average=71 B
<frozen importlib._bootstrap>:677: size=1115 B, count=10, average=112 B
<frozen importlib._bootstrap>:677: size=1108 B, count=7, average=158 B
<frozen importlib._bootstrap>:677: size=1104 B, count=9, average=123 B
/usr/lib/python3.7/threading.py:885: size=1104 B, count=3, average=368 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=1102 B, count=10, average=110 B
<frozen importlib._bootstrap>:677: size=1083 B, count=10, average=108 B
/usr/lib/python3.7/threading.py:885: size=1080 B, count=3, average=360 B
<frozen importlib._bootstrap>:677: size=1079 B, count=11, average=98 B
<frozen importlib._bootstrap>:677: size=1056 B, count=12, average=88 B
<frozen importlib._bootstrap>:1006: size=1052 B, count=25, average=42 B
<frozen importlib._bootstrap>:1006: size=1045 B, count=12, average=87 B
/usr/lib/python3.7/threading.py:1281: size=1032 B, count=3, average=344 B
<frozen importlib._bootstrap>:677: size=1024 B, count=9, average=114 B
<frozen importlib._bootstrap>:1006: size=1020 B, count=36, average=28 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=1018 B, count=10, average=102 B
<frozen importlib._bootstrap>:677: size=1013 B, count=8, average=127 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=1010 B, count=8, average=126 B
<frozen importlib._bootstrap>:677: size=1010 B, count=6, average=168 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=1006 B, count=10, average=101 B
<frozen importlib._bootstrap>:677: size=1002 B, count=7, average=143 B
<frozen importlib._bootstrap>:677: size=1002 B, count=7, average=143 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=991 B, count=13, average=76 B
<frozen importlib._bootstrap>:677: size=991 B, count=9, average=110 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=990 B, count=13, average=76 B
<frozen importlib._bootstrap>:677: size=990 B, count=9, average=110 B
<frozen importlib._bootstrap_external>:728: size=985 B, count=8, average=123 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=974 B, count=8, average=122 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=970 B, count=10, average=97 B
<frozen importlib._bootstrap>:677: size=968 B, count=2, average=484 B
<frozen importlib._bootstrap>:1006: size=964 B, count=34, average=28 B
<frozen importlib._bootstrap>:677: size=947 B, count=9, average=105 B
<frozen importlib._bootstrap>:677: size=945 B, count=9, average=105 B
<frozen importlib._bootstrap>:677: size=914 B, count=6, average=152 B
/home/pi/wladio/venv/lib/python3.7/site-packages/requests/api.py:61: size=912 B, count=8, average=114 B
<frozen importlib._bootstrap>:677: size=910 B, count=7, average=130 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=906 B, count=9, average=101 B
<frozen importlib._bootstrap>:677: size=902 B, count=8, average=113 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=902 B, count=8, average=113 B
/usr/lib/python3.7/threading.py:865: size=896 B, count=28, average=32 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=894 B, count=6, average=149 B
<frozen importlib._bootstrap>:677: size=879 B, count=9, average=98 B
<frozen importlib._bootstrap>:677: size=864 B, count=7, average=123 B
<frozen importlib._bootstrap>:677: size=856 B, count=7, average=122 B
<frozen importlib._bootstrap>:677: size=854 B, count=7, average=122 B
<frozen importlib._bootstrap>:677: size=853 B, count=8, average=107 B
<frozen importlib._bootstrap>:677: size=853 B, count=7, average=122 B
/usr/lib/python3.7/threading.py:917: size=844 B, count=9, average=94 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/importer.py:145: size=842 B, count=8, average=105 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=838 B, count=9, average=93 B
<frozen importlib._bootstrap>:677: size=834 B, count=8, average=104 B
<frozen importlib._bootstrap>:677: size=834 B, count=8, average=104 B
<frozen importlib._bootstrap>:677: size=834 B, count=8, average=104 B
/home/pi/wladio/venv/lib/python3.7/site-packages/gi/overrides/__init__.py:118: size=822 B, count=15, average=55 B
